Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 08/24  08:00:00,1.34262692198619,0.694535843487722,0.000000000000000E+000,0.000000000000000E+000,0.470855925977398,0.151224448452309,0.622080374429707,0.151224448452309,0.120065615884776,2.462662992988818E-002,0.269903014330297,0.290876275351520,0.674498878996649 
 08/24  09:00:00,1.35080103097950,0.634168119641356,0.000000000000000E+000,0.000000000000000E+000,0.523293312236865,0.161672581628894,0.684965893865757,0.161672581628894,6.003279464281535E-002,1.231331632888018E-002,0.330854782137564,0.247559231944487,0.617115042576497 
 08/24  10:00:00,1.71391965699445,0.569241600223813,0.000000000000000E+000,0.000000000000000E+000,0.802090090752848,0.238726732477465,1.04081682323031,0.238726732477465,4.802623305433765E-002,9.850653335891362E-003,0.346769520115789,0.253381415198121,0.551787463021020 
 08/24  11:00:00,1.84030641151915,0.512631459656242,0.000000000000000E+000,0.000000000000000E+000,0.896542502909492,0.256283585390124,1.15282608829962,0.256283585390124,4.802623305433765E-002,9.850653335891362E-003,0.361069380461137,0.253459044308169,0.495171974984944 
 08/24  12:00:00,2.01122118031705,0.468208387779608,0.000000000000000E+000,0.000000000000000E+000,1.04695569498985,0.291596762295015,1.33855245728487,0.291596762295015,4.802623305433765E-002,9.850653335891362E-003,0.350527381326447,0.249189443255505,0.451043013876128 
 08/24  13:00:00,2.24110321540805,0.444159290974693,0.000000000000000E+000,0.000000000000000E+000,1.25197672123958,0.338922895697541,1.59089961693712,0.338922895697541,4.802623305433765E-002,9.850653335891362E-003,0.319445425549819,0.257806274470882,0.426400348067072 
 08/24  14:00:00,2.51642343450937,0.419455068025642,0.000000000000000E+000,0.000000000000000E+000,1.48487001699588,0.391647019391084,1.87651703638697,0.391647019391084,4.802623305433765E-002,9.850653335891362E-003,0.294631581622230,0.272322918049941,0.400696148507446 
 08/24  15:00:00,2.80422923204612,0.424657365428401,0.000000000000000E+000,0.000000000000000E+000,1.69846815249499,0.443803602508562,2.14227175500355,0.443803602508562,4.802623305433765E-002,9.850653335891362E-003,0.301544984082964,0.287460594509386,0.404855689551581 
 08/24  16:00:00,3.17673504997615,0.460228042814148,0.000000000000000E+000,0.000000000000000E+000,1.91880545969550,0.497884478600775,2.41668993829628,0.497884478600775,5.102787345145721E-002,1.046631908413857E-002,0.343460405072082,0.340015502012184,0.436806130758931 
 08/24  17:00:00,3.82074315074444,0.535727097982236,0.000000000000000E+000,0.000000000000000E+000,2.30122427205698,0.591475781764075,2.89270005382105,0.591475781764075,6.603607543705420E-002,1.354464782537459E-002,0.420322867033191,0.413064494567770,0.507273218063103 
