Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 06/07  16:00:00,0.897876575082738,3.99744413927478,0.000000000000000E+000,3.28173958471312,0.000000000000000E+000,0.101449009630864,0.101449009630864,0.101449009630864,5.278737422232559E-002,1.150102206866029E-002,0.342617218823578,0.372409936647711,0.690053809539323 
 06/07  17:00:00,1.09155630360644,4.80968189106652,0.000000000000000E+000,3.96425928341667,0.000000000000000E+000,0.122717450655275,0.122717450655275,0.122717450655275,6.598421150843892E-002,1.437627849646360E-002,0.418947793799472,0.452418555457185,0.814261051881834 
 06/07  18:00:00,1.15556631182985,4.41191996879973,0.000000000000000E+000,3.44987958559640,0.000000000000000E+000,0.106603471613051,0.106603471613051,0.106603471613051,0.105574748444651,2.300204777987350E-002,0.382084005386279,0.491190000916397,0.928208338912433 
 06/07  19:00:00,1.19598832600867,4.47783167293867,0.000000000000000E+000,3.49595270740696,0.000000000000000E+000,0.108021533829840,0.108021533829840,0.108021533829840,0.204551090785182,4.456647098839826E-002,0.314732547256681,0.507004669458972,0.946957643027575 
 06/07  20:00:00,1.37596852195621,4.36413269000083,0.000000000000000E+000,3.44843588973531,0.000000000000000E+000,0.106613709828616,0.106613709828616,0.106613709828616,0.366212416504218,7.978833673111832E-002,0.281807230306979,0.524434814895680,0.879574929192961 
 06/07  21:00:00,1.55148396006104,4.33486331827385,0.000000000000000E+000,3.50265508118346,0.000000000000000E+000,0.108283841297372,0.108283841297372,0.108283841297372,0.531172903478863,0.115729042078660,0.266994958976403,0.512191200540138,0.796929678182971 
 06/07  22:00:00,1.33287898267480,4.37078542180393,0.000000000000000E+000,3.67498032025760,0.000000000000000E+000,0.113626217099983,0.113626217099983,0.113626217099983,0.445393456939481,9.703988622559687E-002,0.216471564029606,0.443235844690528,0.665276029902179 
 06/07  23:00:00,1.04823046392158,4.47114839548544,0.000000000000000E+000,3.92183856850682,0.000000000000000E+000,0.121311226551166,0.121311226551166,0.121311226551166,0.310125839229834,6.756850055550720E-002,0.146949182294076,0.385163701601401,0.522780631784290 
 06/07  24:00:00,0.755649425102531,4.56882006773971,0.000000000000000E+000,4.17523184963239,0.000000000000000E+000,0.129167088980858,0.129167088980858,0.129167088980858,0.158362080870523,3.450306256342797E-002,9.791613045497836E-002,0.318589048543143,0.371644532810813 
 06/08  01:00:00,0.645264178851480,4.67959028253993,0.000000000000000E+000,4.35695541459068,0.000000000000000E+000,0.134800428974854,0.134800428974854,0.134800428974854,9.567709749201676E-002,2.084560181646811E-002,8.349244294370009E-002,0.293336593934840,0.302430513993290 
 06/08  02:00:00,0.592146598146286,4.73399280298060,0.000000000000000E+000,4.43063186354638,0.000000000000000E+000,0.137071905713553,0.137071905713553,0.137071905713553,6.268500009708801E-002,1.365746438951277E-002,7.168462430934135E-002,0.289935589947189,0.283390838857490 
 06/08  03:00:00,0.582892044991271,4.81408976423923,0.000000000000000E+000,4.50586360056072,0.000000000000000E+000,0.139388029762804,0.139388029762804,0.139388029762804,6.268500009708801E-002,1.365746438951277E-002,6.419515189025571E-002,0.285854385162011,0.288537167156780 
 06/08  04:00:00,0.582602490937681,4.90562894196646,0.000000000000000E+000,4.54359674716221,0.000000000000000E+000,0.140555768883323,0.140555768883323,0.140555768883323,6.268500009708801E-002,1.365746438951277E-002,7.353604637693699E-002,0.275056197501220,0.343086952761490 
 06/08  05:00:00,0.629350551533938,5.11563055393098,0.000000000000000E+000,4.51223605030687,0.000000000000000E+000,0.139574234367838,0.139574234367838,0.139574234367838,6.598421150843892E-002,1.437627849646360E-002,8.536320358615601E-002,0.306940609885441,0.582253136151358 
 06/08  06:00:00,0.759104344369556,5.68413699969685,0.000000000000000E+000,4.63079582353642,0.000000000000000E+000,0.143261127762869,0.143261127762869,0.143261127762869,8.907869138789609E-002,1.940797724511937E-002,0.135604843471835,0.354639690812237,1.02891440504442 
 06/08  07:00:00,0.922507854250673,5.44189177410316,0.000000000000000E+000,4.26432369598670,0.000000000000000E+000,0.131880021542485,0.131880021542485,0.131880021542485,0.141866023813768,3.090899202867384E-002,0.208909549344490,0.376831241831655,1.15161280370116 
 06/08  08:00:00,0.866943255353791,5.44827499427179,0.000000000000000E+000,4.30685762184037,0.000000000000000E+000,0.133183929830244,0.133183929830244,0.133183929830244,0.105574748444651,2.300204777987350E-002,0.269481467066278,0.318589048543143,1.11947368713492 
 06/08  09:00:00,0.822412456239952,5.28832517109439,0.000000000000000E+000,4.24870982269817,0.000000000000000E+000,0.131417253893160,0.131417253893160,0.131417253893160,5.938579704502768E-002,1.293865028256194E-002,0.330413698414181,0.271145042915422,1.02093949773956 
 06/08  10:00:00,0.856375815906405,5.80428917033323,0.000000000000000E+000,4.88067808844240,0.000000000000000E+000,0.151073130357110,0.151073130357110,0.151073130357110,5.278737422232559E-002,1.150102206866029E-002,0.346380350176442,0.277521925392267,0.904496006148168 
 06/08  11:00:00,0.871596670585323,5.85513479664117,0.000000000000000E+000,5.03534024874684,0.000000000000000E+000,0.155991969657826,0.155991969657826,0.155991969657826,4.948816281097469E-002,1.078220978298593E-002,0.360615364151980,0.277606950491958,0.800673615817186 
 06/08  12:00:00,0.835692291688118,5.11118618694054,0.000000000000000E+000,4.37333341156179,0.000000000000000E+000,0.135370816748142,0.135370816748142,0.135370816748142,4.948816281097469E-002,1.078220978298593E-002,0.350008518647474,0.272930570008939,0.719053941697993 
